Año 	Mes       	Fuente 	1   	2   	3   	4   	5   	6   	7   	8   	9   	10  	11  	12  	13  	14  	15  	16  	17  	18  	19  	20  	21  	22  	23  	24  	25  	26  	27  	28  	29  	30  	31  	Total
    	marzo     	SENAMHI	14.7	4.3 	9.6 	19.3	0.0 	20.6	4.2 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	9.2 	0.0 	0.0 	15.6	5.9 	10.6	17.5	0.0 	0.0 	2.5 	0.0 	0.0 	5.6 	0.0 	5.3 	14.4	0.0 	159.3
    	abril     	SENAMHI	5.3 	2.7 	2.3 	0.0 	5.4 	0.0 	2.0 	3.4 	0.0 	9.1 	5.9 	0.0 	5.7 	2.0 	0.0 	9.5 	11.4	6.4 	4.5 	5.3 	0.0 	0.0 	0.0 	0.0 	3.4 	0.0 	0.0 	0.0 	7.0 	8.2 	    	99.5 
    	mayo      	SENAMHI	5.8 	0.0 	0.0 	0.0 	0.0 	0.0 	6.5 	3.2 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	4.5 	1.3 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	21.3 
    	junio     	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	    	0.0  
    	julio     	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0  
    	agosto    	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	4.4 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	4.4  
    	septiembre	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	7.0 	0.0 	0.0 	0.0 	5.8 	7.3 	0.0 	0.0 	6.8 	5.7 	    	32.6 
    	octubre   	SENAMHI	0.0 	0.0 	0.0 	3.6 	2.4 	3.0 	0.0 	0.0 	10.8	0.0 	12.4	5.8 	2.4 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	12.2	7.2 	0.0 	13.4	6.3 	1.5 	0.0 	0.0 	0.0 	0.0 	3.2 	0.0 	84.2 
    	noviembre 	SENAMHI	0.0 	0.0 	5.0 	7.3 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5.9 	4.4 	7.3 	4.7 	1.3 	5.4 	10.3	5.3 	0.0 	0.0 	9.6 	13.1	0.0 	0.0 	0.0 	    	79.6 
    	diciembre 	SENAMHI	0.0 	0.0 	0.0 	0.0 	26.6	10.0	20.0	8.0 	7.5 	0.0 	3.1 	0.0 	22.3	4.2 	17.7	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	4.4 	0.0 	0.0 	5.3 	7.5 	5.0 	2.0 	1.0 	1.5 	5.0 	151.1
