Año 	Mes       	Fuente 	1   	2   	3   	4   	5   	6   	7   	8   	9   	10  	11  	12  	13  	14  	15  	16  	17  	18  	19  	20  	21  	22  	23  	24  	25  	26  	27  	28  	29  	30  	31  	Total
    	marzo     	SENAMHI	1.8 	2.0 	7.2 	8.9 	11.2	0.0 	6.5 	8.3 	3.2 	0.5 	12.0	18.8	17.7	20.0	0.0 	0.0 	0.0 	0.0 	4.3 	5.6 	11.5	0.0 	17.2	10.5	3.2 	0.0 	13.0	16.0	5.0 	5.0 	2.6 	212.0
    	abril     	SENAMHI	1.0 	0.0 	0.0 	1.6 	0.0 	2.6 	0.0 	0.0 	0.8 	2.4 	0.0 	0.0 	0.0 	0.0 	2.7 	2.0 	3.5 	0.0 	5.6 	7.3 	3.7 	2.1 	14.0	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	    	49.3 
    	mayo      	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5.0 	2.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5.9 	4.8 	17.7 
    	junio     	SENAMHI	3.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	7.8 	14.8	2.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	    	27.6 
    	julio     	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.5 	0.0 	2.5 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.5 	0.0 	4.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	8.5  
    	agosto    	SENAMHI	5.5 	0.0 	0.0 	3.5 	0.0 	1.2 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	3.2 	6.1 	7.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.8 	3.0 	0.5 	0.0 	0.0 	4.7 	14.2	49.7 
    	septiembre	SENAMHI	5.8 	1.6 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	8.0 	9.6 	0.0 	0.0 	0.0 	0.0 	0.0 	6.5 	0.0 	0.0 	0.0 	2.4 	13.5	0.0 	9.8 	4.2 	0.0 	    	61.4 
    	octubre   	SENAMHI	5.8 	8.3 	0.0 	0.0 	0.0 	7.0 	15.9	0.0 	0.0 	3.4 	2.0 	0.0 	3.0 	9.1 	0.0 	3.9 	2.7 	1.7 	2.8 	0.0 	0.0 	3.5 	1.8 	2.0 	0.8 	2.3 	4.1 	0.0 	3.1 	3.0 	0.0 	86.2 
    	noviembre 	SENAMHI	8.6 	0.0 	12.2	3.0 	8.5 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.9 	5.2 	    	38.4 
    	diciembre 	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.0 	0.0 	3.0 	0.0 	0.0 	0.0 	0.0 	3.0 	3.0 	0.0 	9.8 	0.0 	0.0 	0.0 	0.0 	4.1 	4.7 	13.2	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	41.8 
