Año 	Mes       	Fuente 	1   	2   	3   	4   	5   	6   	7   	8   	9   	10  	11  	12  	13  	14  	15  	16  	17  	18  	19  	20  	21  	22  	23  	24  	25  	26  	27  	28  	29  	30  	31  	Total
    	marzo     	SENAMHI	0.4 	0.0 	0.0 	0.0 	6.0 	10.5	6.8 	0.3 	0.0 	0.0 	2.9 	3.1 	12.8	6.5 	0.0 	0.0 	0.3 	0.0 	0.0 	4.0 	4.5 	16.2	0.0 	0.0 	0.0 	0.0 	3.2 	10.0	4.4 	0.2 	0.0 	92.1 
    	abril     	SENAMHI	0.3 	3.5 	0.0 	0.0 	4.6 	6.7 	0.0 	3.2 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.3 	0.0 	0.0 	0.0 	0.0 	0.0 	4.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	    	22.6 
    	mayo      	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.5 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.5  
    	junio     	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.4 	0.0 	0.0 	4.2 	0.0 	0.0 	0.0 	0.0 	0.3 	3.6 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	    	8.5  
    	julio     	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	6.4 	0.0 	0.0 	0.0 	0.0 	0.0 	4.1 	0.0 	0.0 	0.0 	0.0 	0.0 	5.6 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	16.1 
    	agosto    	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.3 	0.0 	0.0 	0.0 	0.3  
    	septiembre	SENAMHI	0.0 	0.0 	1.1 	0.8 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.4 	2.3 	3.1 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.4 	4.3 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.2 	    	12.6 
    	octubre   	SENAMHI	0.3 	3.2 	5.1 	0.0 	0.0 	0.4 	4.1 	0.0 	0.0 	2.5 	5.6 	4.9 	0.5 	0.0 	0.0 	0.0 	5.8 	2.5 	16.3	0.3 	0.0 	0.0 	0.4 	0.0 	3.8 	2.9 	0.3 	0.0 	0.0 	0.0 	0.4 	59.3 
    	noviembre 	SENAMHI	0.0 	0.0 	2.0 	5.6 	4.5 	3.2 	0.0 	0.0 	0.0 	3.8 	5.0 	7.2 	0.0 	0.0 	6.2 	0.0 	2.0 	6.5 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	2.2 	0.0 	0.0 	0.0 	0.0 	    	48.2 
    	diciembre 	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	3.2 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.3 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	3.5  
